mouseSYM	humanSYM
Defa24	DEFA3
Defa24	DEFA5
Defa25	DEFA6
Defa25	DEFA4
Defa25	DEFA1
Defa25	DEFA1B
Defa25	DEFA3
Defa25	DEFA5
Defa26	DEFA6
Defa26	DEFA4
Defa26	DEFA1
Defa26	DEFA1B
Defa26	DEFA3
Defa26	DEFA5
Defa27	DEFA6
Defa27	DEFA4
Defa27	DEFA1
Defa27	DEFA1B
Defa27	DEFA3
Defa27	DEFA5
Defa28	DEFA6
Defa28	DEFA4
Defa28	DEFA1
Defa28	DEFA1B
Defa28	DEFA3
Defa28	DEFA5
Defa29	DEFA6
Defa29	DEFA4
Defa29	DEFA1
Defa29	DEFA1B
Defa29	DEFA3
Defa29	DEFA5
Defa3	DEFA6
Defa3	DEFA4
Defa3	DEFA1
Defa3	DEFA1B
Defa3	DEFA3
Defa3	DEFA5
Defa30	DEFA6
Defa30	DEFA4
Defa30	DEFA1
Defa30	DEFA1B
Defa30	DEFA3
Defa30	DEFA5
Defa31	DEFA6
Defa31	DEFA4
Defa31	DEFA1
Defa31	DEFA1B
Defa31	DEFA3
Defa31	DEFA5
Defa32	DEFA6
Defa32	DEFA4
Defa32	DEFA1
Defa32	DEFA1B
Defa32	DEFA3
Defa32	DEFA5
Defa33	DEFA6
Defa33	DEFA4
Defa33	DEFA1
Defa33	DEFA1B
Defa33	DEFA3
Defa33	DEFA5
Defa34	DEFA6
Defa34	DEFA4
Defa34	DEFA1
Defa34	DEFA1B
Defa34	DEFA3
Defa34	DEFA5
Defa35	DEFA6
Defa35	DEFA4
Defa35	DEFA1
Defa35	DEFA1B
Defa35	DEFA3
Defa35	DEFA5
Defa36	DEFA6
Defa36	DEFA4
Defa36	DEFA1
Defa36	DEFA1B
Defa36	DEFA3
Defa36	DEFA5
Defa37	DEFA6
Defa37	DEFA4
Defa37	DEFA1
Defa37	DEFA1B
Defa37	DEFA3
Defa37	DEFA5
Defa38	DEFA6
Defa38	DEFA4
Defa38	DEFA1
Defa38	DEFA1B
Defa38	DEFA3
Defa38	DEFA5
Defa39	DEFA6
Defa39	DEFA4
Defa39	DEFA1
Defa39	DEFA1B
Defa39	DEFA3
Defa39	DEFA5
Defa4	DEFA1
Defa4	DEFA1B
Defa4	DEFA3
Defa4	DEFA4
Defa4	DEFA6
Defa40	DEFA6
Defa40	DEFA4
Defa40	DEFA1
Defa40	DEFA1B
Defa40	DEFA3
Defa40	DEFA5
Defa41	DEFA6
Defa41	DEFA4
Defa41	DEFA1
Defa41	DEFA1B
Defa41	DEFA3
Defa41	DEFA5
Defa42	DEFA6
Defa42	DEFA4
Defa42	DEFA1
Defa42	DEFA1B
Defa42	DEFA3
Defa42	DEFA5
Defa43	DEFA6
Defa43	DEFA4
Defa43	DEFA1
Defa43	DEFA1B
Defa43	DEFA3
Defa43	DEFA5
Defa5	DEFA6
Defa5	DEFA4
Defa5	DEFA1
Defa5	DEFA1B
Defa5	DEFA3
Defa5	DEFA5
Defa6	DEFA1
Defa6	DEFA1B
Defa6	DEFA3
Defa6	DEFA5
Defa6	DEFA6
Defa7	DEFA1
Defa7	DEFA1B
Defa7	DEFA3
Defa7	DEFA5
Defa7	DEFA6
Defa8	DEFA1
Defa8	DEFA1B
Defa8	DEFA3
Defa8	DEFA5
Defa8	DEFA6
Defa9	DEFA1
Defa9	DEFA1B
Defa9	DEFA3
Defa9	DEFA5
Defa9	DEFA6
Defb1	DEFB1
Defb12	DEFB105B
Defb12	DEFB105A
Defb13	DEFB107B
Defb13	DEFB107A
Defb14	DEFB103B
Defb14	DEFB103A
Defb15	DEFB127
Defb15	DEFB132
Defb15	DEFB121
Defb15	DEFB104B
Defb15	DEFB104A
Defb15	DEFB134
Defb15	DEFB108B
Defb15	DEFB106A
Defb15	DEFB106B
Defb18	DEFB113
Defb19	DEFB119
Defb20	DEFB128
Defb21	DEFB118
Defb22	DEFB127
Defb22	DEFB132
Defb22	DEFB121
Defb22	DEFB104B
Defb22	DEFB104A
Defb22	DEFB134
Defb22	DEFB108B
Defb22	DEFB126
Defb23	DEFB129
Defb25	DEFB124
Defb26	DEFB125
Defb28	DEFB115
Defb29	DEFB116
Defb3	DEFB4A
Defb3	DEFB4B
Defb30	DEFB135
Defb34	DEFB127
Defb34	DEFB132
Defb34	DEFB121
Defb34	DEFB104B
Defb34	DEFB104A
Defb34	DEFB134
Defb34	DEFB108B
Defb34	DEFB106A
Defb34	DEFB106B
Defb35	DEFB105B
Defb35	DEFB105A
Defb36	DEFB123
Defb37	DEFB1
Defb4	DEFB4A
Defb4	DEFB4B
Defb41	DEFB110
Defb42	DEFB136
Defb43	DEFB131A
Defb43	DEFB131B
Defb47	DEFB130B
Defb47	DEFB130A
Defb48	DEFB109B
Defb5	DEFB4A
Defb5	DEFB4B
Defb6	DEFB4A
Defb6	DEFB4B
Defb7	DEFB4A
Defb7	DEFB4B
Defb8	DEFB4A
Defb8	DEFB4B
Degs1	DEGS1
Degs1l	DEGS1
Degs2	DEGS2
Dek	DEK
Dele1	DELE1
Denn2b	DENND2B
Dennd10	DENND10
Dennd10	DENND10P1
Dennd11	DENND11
Dennd1a	DENND1A
Dennd1b	DENND1B
Dennd1c	DENND1C
Dennd2a	DENND2A
Dennd2b	DENND2B
Dennd2c	DENND2C
Dennd2d	DENND2D
Dennd3	DENND3
Dennd4a	DENND4A
Dennd4b	DENND4B
Dennd4c	DENND4C
Dennd5a	DENND5A
Dennd5b	DENND5B
Dennd6a	DENND6A
Dennd6b	DENND6B
Denr	DENR
Depdc1a	DEPDC1
Depdc1b	DEPDC1B
Depdc5	DEPDC5
Depdc5	Z82190.2
Depdc7	DEPDC7
Depp1	DEPP1
Deptor	DEPTOR
Dera	DERA
Derl1	DERL1
Derl2	DERL2
Derl3	DERL3
Derpc	DERPC
Des	DES
Desi1	DESI1
Desi2	DESI2
Det1	AC013489.1
Det1	DET1
Deup1	DEUP1
Dexi	DEXI
Dffa	DFFA
Dffb	DFFB
Dgat1	DGAT1
Dgat2	DGAT2
Dgat2l6	DGAT2L6
Dgcr2	DGCR2
Dgcr6	AC007325.4
Dgcr6	DGCR6
Dgcr6	AC007326.4
Dgcr6	DGCR6L
Dgcr8	DGCR8
Dgka	DGKA
Dgkb	DGKB
Dgkd	DGKD
Dgke	DGKE
Dgkg	DGKG
Dgkh	DGKH
Dgki	DGKI
Dgkk	DGKK
Dgkq	DGKQ
Dgkz	DGKZ
Dglucy	DGLUCY
Dguok	DGUOK
Dhcr24	DHCR24
Dhcr7	DHCR7
Dhdds	DHDDS
Dhdh	DHDH
Dhfr	DHFR
Dhfr	DHFR2
Dhfr	DHFRP1
Dhh	DHH
Dhodh	DHODH
Dhps	AC010422.8
Dhps	DHPS
Dhrs1	DHRS1
Dhrs11	DHRS11
Dhrs13	DHRS13
Dhrs2	DHRS2
Dhrs3	DHRS3
Dhrs4	DHRS4
Dhrs4	DHRS4L2
Dhrs4	DHRS4L1
Dhrs7	DHRS7
Dhrs7b	DHRS7B
Dhrs7c	DHRS7C
Dhrs7l	DHRS7
Dhrs9	DHRS9
Dhrsx	DHRSX
Dhtkd1	DHTKD1
Dhx15	DHX15
Dhx16	DHX16
Dhx29	DHX29
Dhx30	DHX30
Dhx32	DHX32
Dhx33	DHX33
Dhx34	DHX34
Dhx35	DHX35
Dhx36	DHX36
Dhx37	DHX37
Dhx38	DHX38
Dhx40	DHX40
Dhx57	DHX57
Dhx58	DHX58
Dhx8	DHX8
Dhx9	DHX9
Diablo	DIABLO
Diaph1	DIAPH1
Diaph2	DIAPH2
Diaph3	DIAPH3
Dicer1	DICER1
Dido1	DIDO1
Dimt1	DIMT1
Dio1	DIO1
Dio2	DIO2
Dio3	DIO3
Dio3os	DIO3OS
Dip2a	DIP2A
Dip2b	DIP2B
Dip2c	DIP2C
Dipk1a	DIPK1A
Dipk1b	DIPK1B
Dipk1c	DIPK1C
Dipk2a	DIPK2A
Dipk2b	DIPK2B
Diras1	DIRAS1
Diras2	DIRAS2
Dis3	DIS3
Dis3l	DIS3L
Dis3l2	DIS3L2
Disc1	DISC1
Disp1	DISP1
Disp2	DISP2
Disp3	DISP3
Dixdc1	DIXDC1
Dkc1	DKC1
Dkk1	DKK1
Dkk2	DKK2
Dkk3	DKK3
Dkk4	DKK4
Dkkl1	DKKL1
Dlat	DLAT
Dlc1	DLC1
Dld	DLD
Dlec1	DLEC1
Dleu7	DLEU7
Dlg1	DLG1
Dlg2	DLG2
Dlg3	DLG3
Dlg4	DLG4
Dlg5	DLG5
Dlgap1	DLGAP1
Dlgap2	DLGAP2
Dlgap3	DLGAP3
Dlgap4	DLGAP4
Dlgap5	DLGAP5
Dlk1	DLK1
Dlk2	DLK2
Dll1	DLL1
Dll3	DLL3
Dll4	DLL4
Dlst	DLST
Dlx1	DLX1
Dlx2	DLX2
Dlx3	DLX3
Dlx4	DLX4
Dlx5	DLX5
Dlx6	DLX6
Dlx6os1	DLX6-AS1
Dmac1	DMAC1
Dmac2	DMAC2
Dmac2l	DMAC2L
Dmap1	DMAP1
Dmbt1	DMBT1
Dmbx1	DMBX1
Dmc1	DMC1
Dmd	DMD
Dmgdh	DMGDH
Dmkn	DMKN
Dmp1	DMP1
Dmpk	AC011530.1
Dmpk	DMPK
Dmrt1	DMRT1
Dmrt2	DMRT2
Dmrt3	DMRT3
Dmrta1	DMRTA1
Dmrta2	DMRTA2
Dmrtb1	DMRTB1
Dmrtc1a	DMRTC1
Dmrtc1a	DMRTC1B
Dmrtc1b	DMRTC1B
Dmrtc2	DMRTC2
Dmtf1	DMTF1
Dmtn	DMTN
Dmwd	DMWD
Dmxl1	DMXL1
Dmxl2	DMXL2
Dna2	DNA2
Dnaaf1	DNAAF1
Dnaaf10	DNAAF10
Dnaaf11	DNAAF11
Dnaaf2	DNAAF2
Dnaaf3	AC010327.2
Dnaaf3	DNAAF3
Dnaaf4	DNAAF4
Dnaaf5	DNAAF5
Dnaaf6	DNAAF6
Dnaaf6rt	DNAAF6
Dnaaf8	DNAAF8
Dnaaf9	DNAAF9
Dnah1	DNAH1
Dnah10	DNAH10
Dnah11	DNAH11
Dnah12	DNAH12
Dnah14	DNAH14
Dnah17	DNAH17
Dnah2	DNAH2
Dnah3	DNAH3
Dnah5	DNAH5
Dnah6	DNAH6
Dnah7a	DNAH7
Dnah7b	DNAH7
Dnah7c	DNAH7
Dnah8	DNAH8
Dnah9	DNAH9
Dnai1	DNAI1
Dnai2	DNAI2
Dnai3	DNAI3
Dnai4	DNAI4
Dnai7	DNAI7
Dnaic1	DNAI1
Dnaic2	DNAI2
Dnaja1	DNAJA1
Dnaja2	DNAJA2
Dnaja3	DNAJA3
Dnaja4	DNAJA4
Dnajb1	DNAJB1
Dnajb11	DNAJB11
Dnajb11	AC068631.2
Dnajb12	DNAJB12
Dnajb13	DNAJB13
Dnajb14	DNAJB14
Dnajb2	DNAJB2
Dnajb3	DNAJB3
Dnajb4	DNAJB4
Dnajb5	DNAJB5
Dnajb6	DNAJB6
Dnajb7	DNAJB7
Dnajb8	DNAJB8
Dnajb9	DNAJB9
Dnajc1	DNAJC1
Dnajc10	DNAJC10
Dnajc11	DNAJC11
Dnajc12	DNAJC12
Dnajc13	DNAJC13
Dnajc14	AC023055.1
Dnajc14	DNAJC14
Dnajc15	DNAJC15
Dnajc16	DNAJC16
Dnajc17	DNAJC17
Dnajc18	DNAJC18
Dnajc19	DNAJC19
Dnajc19-ps	DNAJC19
Dnajc2	DNAJC2
Dnajc21	DNAJC21
Dnajc22	DNAJC22
Dnajc24	DNAJC24
Dnajc25	DNAJC25
Dnajc25	DNAJC25-GNG10
Dnajc27	DNAJC27
Dnajc28	DNAJC28
Dnajc3	DNAJC3
Dnajc30	DNAJC30
Dnajc4	DNAJC4
Dnajc5	DNAJC5
Dnajc5b	DNAJC5B
Dnajc5g	DNAJC5G
Dnajc6	DNAJC6
Dnajc7	DNAJC7
Dnajc8	DNAJC8
Dnajc9	DNAJC9
Dnal1	DNAL1
Dnal4	DNAL4
Dnali1	DNALI1
Dnase1	DNASE1
Dnase1l1	DNASE1L1
Dnase1l2	DNASE1L2
Dnase1l3	DNASE1L3
Dnase2a	DNASE2
Dnase2b	DNASE2B
Dnd1	DND1
Dner	DNER
Dnhd1	DNHD1
Dnlz	DNLZ
Dnm1	DNM1
Dnm1l	DNM1L
Dnm2	DNM2
Dnm3	DNM3
Dnmbp	DNMBP
Dnmt1	DNMT1
Dnmt3a	DNMT3A
Dnmt3b	DNMT3B
Dnmt3c	DNMT3B
Dnmt3l	FP565260.4
Dnmt3l	DNMT3L
Dnpep	DNPEP
Dnph1	DNPH1
Dntt	DNTT
Dnttip1	DNTTIP1
Dnttip2	DNTTIP2
Doc2a	DOC2A
Doc2b	DOC2B
Doc2g	DOC2GP
Dock1	DOCK1
Dock10	DOCK10
Dock11	DOCK11
Dock2	DOCK2
Dock3	DOCK3
Dock4	DOCK4
Dock5	DOCK5
Dock6	DOCK6
Dock7	DOCK7
Dock8	DOCK8
Dock9	DOCK9
Dohh	DOHH
Dok1	DOK1
Dok2	DOK2
Dok3	DOK3
Dok4	DOK4
Dok5	DOK5
Dok6	DOK6
Dok7	DOK7
Dolk	DOLK
Dolpp1	DOLPP1
Donson	DONSON
Dop1a	DOP1A
Dop1b	DOP1B
Dot1l	DOT1L
Doxl1	AOC1
Doxl2	AOC1
Dpagt1	DPAGT1
Dpcd	DPCD
Dpep1	DPEP1
Dpep2	DPEP2
Dpep3	DPEP3
Dpf1	DPF1
Dpf2	DPF2
Dpf3	DPF3
Dph1	DPH1
Dph2	DPH2
Dph3	DPH3
Dph3	DPH3P1
Dph5	DPH5
Dph6	DPH6
Dph7	DPH7
Dpm1	DPM1
Dpm2	DPM2
Dpm3	DPM3
Dpp10	DPP10
Dpp3	DPP3
Dpp4	DPP4
Dpp6	DPP6
Dpp7	DPP7
Dpp8	DPP8
Dpp9	DPP9
Dppa2	DPPA2
Dppa3	DPPA3
Dppa4	DPPA4
Dppa5a	DPPA5
Dppa5b	DPPA5
Dppa5c	DPPA5
Dpt	DPT
Dpy19l1	DPY19L1
Dpy19l2	DPY19L2
Dpy19l2	DPY19L2P1
Dpy19l2	DPY19L2P2
Dpy19l3	DPY19L3
Dpy19l4	DPY19L4
Dpy30	DPY30
Dpyd	DPYD
Dpys	DPYS
Dpysl2	DPYSL2
Dpysl3	DPYSL3
Dpysl4	DPYSL4
Dpysl5	DPYSL5
Dqx1	DQX1
Dr1	DR1
Dram1	DRAM1
Dram2	DRAM2
Drap1	DRAP1
Draxin	DRAXIN
Drc1	DRC1
Drc3	DRC3
Drc7	DRC7
Drd1	DRD1
Drd2	DRD2
Drd3	DRD3
Drd4	DRD4
Drd5	DRD5
Drg1	DRG1
Drg2	DRG2
Drgx	DRGX
Drosha	DROSHA
Drp2	DRP2
Dsc1	DSC1
Dsc2	DSC2
Dsc3	DSC3
Dscam	DSCAM
Dscaml1	DSCAML1
Dscc1	DSCC1
Dse	DSE
Dse	Z84488.1
Dsel	DSEL
Dsg1a	DSG1
Dsg1b	DSG1
Dsg1c	DSG1
Dsg2	DSG2
Dsg3	DSG3
Dsg4	DSG4
Dsn1	DSN1
Dsp	DSP
Dspp	DSPP
Dst	DST
Dstn	DSTN
Dstyk	DSTYK
Dtd1	AL121900.1
Dtd1	DTD1
Dtd2	DTD2
Dthd1	DTHD1
Dtl	DTL
Dtna	DTNA
Dtnb	DTNB
Dtnbp1	DTNBP1
Dtwd1	DTWD1
Dtwd2	DTWD2
Dtx1	DTX1
Dtx2	DTX2
Dtx3	DTX3
Dtx3l	DTX3L
Dtx4	DTX4
Dtymk	DTYMK
Dubr	DUBR
Duox1	DUOX1
Duox2	DUOX2
Duoxa1	DUOXA1
Duoxa2	DUOXA2
Dupd1	DUSP29
Dus1l	DUS1L
Dus2	DUS2
Dus3l	DUS3L
Dus4l	DUS4L
Dusp1	DUSP1
Dusp10	DUSP10
Dusp11	DUSP11
Dusp12	DUSP12
Dusp13	DUSP13
Dusp13b	DUSP13B
Dusp14	DUSP14
Dusp15	DUSP15
Dusp16	DUSP16
Dusp18	DUSP18
Dusp19	DUSP19
Dusp2	DUSP2
Dusp21	DUSP21
Dusp22	DUSP22
Dusp23	DUSP23
Dusp26	DUSP26
Dusp27	STYXL2
Dusp28	DUSP28
Dusp29	DUSP29
Dusp3	DUSP3
Dusp4	DUSP4
Dusp5	DUSP5
Dusp6	DUSP6
Dusp7	DUSP7
Dusp8	DUSP8
Dusp9	DUSP9
Dut	DUT
Duxbl1	DUX4
Duxbl1	DUXB
Duxbl2	DUX4
Duxbl3	DUX4
Dvl1	DVL1
Dvl1	DVL1P1
Dvl2	DVL2
Dvl3	DVL3
Dxo	DXO
Dydc1	DYDC1
Dydc2	DYDC2
Dym	DYM
Dynap	DYNAP
Dynapl1	DYNAP
Dync1h1	DYNC1H1
Dync1i1	DYNC1I1
Dync1i2	DYNC1I2
Dync1li1	DYNC1LI1
Dync1li2	DYNC1LI2
Dync2h1	DYNC2H1
Dync2i1	DYNC2I1
Dync2i2	DYNC2I2
Dync2li1	DYNC2LI1
Dynll1	DYNLL1
Dynll2	DYNLL2
Dynlrb1	DYNLRB1
Dynlrb2	DYNLRB2
Dynlt1a	DYNLT1
Dynlt1b	DYNLT1
Dynlt1c	DYNLT1
Dynlt1f	DYNLT1
Dynlt2a1	DYNLT2
Dynlt2a2	DYNLT2
Dynlt2a3	DYNLT2
Dynlt2b	DYNLT2B
Dynlt3	DYNLT3
Dynlt4	DYNLT4
Dynlt5	DYNLT5
Dyrk1a	DYRK1A
Dyrk1b	DYRK1B
Dyrk2	DYRK2
Dyrk3	DYRK3
Dyrk4	DYRK4
Dyrk4	AC005832.4
Dysf	DYSF
Dytn	DYTN
Dzank1	DZANK1
Dzip1	DZIP1
Dzip1l	DZIP1L
Dzip3	DZIP3
E130308A19Rik	KIAA1958
E130309D02Rik	C7orf26
E130311K13Rik	C3orf33
E2f1	E2F1
E2f2	E2F2
E2f3	E2F3
E2f4	E2F4
E2f5	E2F5
E2f6	E2F6
E2f7	E2F7
E2f8	E2F8
E430018J23Rik	AC002310.4
E430018J23Rik	ZNF747
E430018J23Rik	ZNF764
E4f1	E4F1
ETV3L	ETV3L
Eaf1	EAF1
Eaf2	EAF2
Eapp	EAPP
Ear1	RNASE3
Ear1	RNASE2
Ear10	RNASE3
Ear10	RNASE2
Ear14	RNASE3
Ear14	RNASE2
Ear2	RNASE3
Ear2	RNASE2
Ear3	RNASE2
Ear3	RNASE3
Ear4	RNASE2
Ear4	RNASE3
Ear6	RNASE3
Ear6	RNASE2
Ears2	EARS2
Ebag9	EBAG9
Ebf1	EBF1
Ebf2	EBF2
Ebf3	EBF3
Ebf4	EBF4
Ebi3	EBI3
Ebna1bp2	EBNA1BP2
Ebp	EBP
Ebp	AF196969.1
Ebpl	EBPL
Ecd	ECD
Ece1	ECE1
Ece2	EEF1AKMT4-ECE2
Ece2	ECE2
Ecel1	ECEL1
Ech1	ECH1
Echdc1	ECHDC1
Echdc2	ECHDC2
Echdc3	ECHDC3
Echs1	ECHS1
Eci1	ECI1
Eci2	ECI2
Eci3	ECI2
Ecm1	ECM1
Ecm2	ECM2
Ecpas	ECPAS
Ecrg4	ECRG4
Ecscr	AC142391.1
Ecscr	ECSCR
Ecsit	ECSIT
Ect2	ECT2
Ect2l	ECT2L
Eda	EDA
Eda2r	EDA2R
Edar	EDAR
Edaradd	EDARADD
Edc3	EDC3
Edc4	EDC4
Eddm13	EDDM13
Eddm3b	EDDM3A
Eddm3b	EDDM3B
Edem1	EDEM1
Edem2	EDEM2
Edem3	EDEM3
Edf1	EDF1
Edil3	EDIL3
Edn1	EDN1
Edn2	EDN2
Edn3	EDN3
Ednra	EDNRA
Ednrb	EDNRB
Edrf1	EDRF1
Eea1	EEA1
Eed	EED
Eef1a1	EEF1A1
Eef1a2	EEF1A2
Eef1akmt1	EEF1AKMT1
Eef1akmt2	AC068896.1
Eef1akmt2	EEF1AKMT2
Eef1akmt3	EEF1AKMT3
Eef1akmt4	EEF1AKMT4
Eef1aknmt	EEF1AKNMT
Eef1b2	EEF1B2
Eef1d	EEF1D
Eef1e1	EEF1E1-BLOC1S5
Eef1e1	EEF1E1
Eef1ece2	ECE2
Eef1ece2	EEF1AKMT4-ECE2
Eef1g	EEF1G
Eef2	EEF2
Eef2k	EEF2K
Eef2kmt	FAM86B1
Eef2kmt	FAM86B2
Eef2kmt	EEF2KMT
Eefsec	EEFSEC
Eeig1	EEIG1
Eeig2	EEIG2
Eepd1	EEPD1
Efcab1	EFCAB1
Efcab10	EFCAB10
Efcab11	EFCAB11
Efcab12	EFCAB12
Efcab14	EFCAB14
Efcab15	EFCAB15P
Efcab2	EFCAB2
Efcab3	EFCAB3
Efcab5	EFCAB5
Efcab6	EFCAB6
Efcab7	EFCAB7
Efcab8	EFCAB8
Efcab9	EFCAB9
Efcc1	EFCC1
Efemp1	EFEMP1
Efemp2	EFEMP2
Efhb	EFHB
Efhc1	EFHC1
Efhc2	EFHC2
Efhd1	EFHD1
Efhd2	EFHD2
Efl1	EFL1
Efna1	EFNA1
Efna2	EFNA2
Efna3	AL691442.1
Efna3	EFNA3
Efna4	EFNA4
Efna5	EFNA5
Efnb1	EFNB1
Efnb2	EFNB2
Efnb3	EFNB3
Efr3a	EFR3A
Efr3b	EFR3B
Efs	EFS
Eftud2	EFTUD2
Egf	EGF
Egfbp2	KLK1
Egfbp2	KLK2
Egfem1	EGFEM1P
Egfl6	EGFL6
Egfl7	EGFL7
Egfl8	EGFL8
Egflam	EGFLAM
Egfr	EGFR
Egln1	EGLN1
Egln1	AL445524.2
Egln2	EGLN2
Egln3	EGLN3
Egr1	EGR1
Egr2	EGR2
Egr3	EGR3
Egr4	EGR4
Ehbp1	EHBP1
Ehbp1l1	EHBP1L1
Ehd1	EHD1
Ehd2	EHD2
Ehd3	EHD3
Ehd4	EHD4
Ehf	EHF
Ehhadh	EHHADH
Ehmt1	EHMT1
Ehmt2	EHMT2
Ei24	EI24
Eid1	EID1
Eid2	EID2
Eid2b	EID2B
Eid3	EID3
Eif1	EIF1
Eif1a	EIF1AY
Eif1a	EIF1AX
Eif1ad	EIF1AD
Eif1ax	EIF1AX
Eif1ax	EIF1AY
Eif1b	EIF1B
Eif2a	EIF2A
Eif2ak1	EIF2AK1
Eif2ak2	EIF2AK2
Eif2ak3	EIF2AK3
Eif2ak4	EIF2AK4
Eif2b1	EIF2B1
Eif2b2	EIF2B2
Eif2b3	EIF2B3
Eif2b4	EIF2B4
Eif2b5	EIF2B5
Eif2d	EIF2D
Eif2s1	EIF2S1
Eif2s2	EIF2S2
Eif2s3x	EIF2S3
Eif2s3x	EIF2S3B
Eif3a	EIF3A
Eif3b	EIF3B
Eif3c	EIF3CL
Eif3c	EIF3C
Eif3d	EIF3D
Eif3e	EIF3E
Eif3f	EIF3F
Eif3g	EIF3G
Eif3h	EIF3H
Eif3i	EIF3I
Eif3j1	EIF3J
Eif3j2	EIF3J
Eif3k	EIF3K
Eif3l	EIF3L
Eif3m	EIF3M
Eif4a1	EIF4A1
Eif4a2	EIF4A2
Eif4a3	EIF4A3
Eif4a3l1	EIF4A3
Eif4a3l2	EIF4A3
Eif4b	EIF4B
Eif4e	EIF4E
Eif4e1b	EIF4E1B
Eif4e2	EIF4E2
Eif4e3	EIF4E3
Eif4ebp1	EIF4EBP1
Eif4ebp2	EIF4EBP2
Eif4ebp3	EIF4EBP3
Eif4enif1	EIF4ENIF1
Eif4g1	EIF4G1
Eif4g2	EIF4G2
Eif4g3	EIF4G3
Eif4h	EIF4H
Eif5	EIF5
Eif5a	EIF5AL1
Eif5a	EIF5A
Eif5a2	EIF5A2
Eif5b	EIF5B
Eif6	EIF6
Eipr1	EIPR1
Elac1	ELAC1
Elac2	ELAC2
Elane	ELANE
Elapor1	ELAPOR1
Elapor2	ELAPOR2
Elavl1	ELAVL1
Elavl2	ELAVL2
Elavl3	ELAVL3
Elavl4	ELAVL4
Eldr	ELDR
Elf1	ELF1
Elf2	ELF2
Elf3	ELF3
Elf4	ELF4
Elf5	ELF5
Elfn1	ELFN1
Elfn2	ELFN2
Elk1	ELK1
Elk3	ELK3
Elk4	ELK4
Ell	ELL
Ell2	ELL2
Ell3	ELL3
Elmo1	ELMO1
Elmo2	ELMO2
Elmo3	ELMO3
Elmod1	ELMOD1
Elmod2	ELMOD2
Elmod3	ELMOD3
Elmsan1	MIDEAS
Eln	ELN
Eloa	ELOA
Eloa	ELOA2
Eloa	ELOA3DP
Eloa	ELOA3P
Elob	ELOB
Eloc	ELOC
Elof1	ELOF1
Elovl1	ELOVL1
Elovl2	ELOVL2
Elovl3	ELOVL3
Elovl4	ELOVL4
Elovl5	ELOVL5
Elovl6	ELOVL6
Elovl7	ELOVL7
Elp1	ELP1
Elp2	ELP2
Elp3	ELP3
Elp4	ELP4
Elp5	ELP5
Elp6	ELP6
Emb	EMB
Emc1	EMC1
Emc10	EMC10
Emc2	EMC2
Emc3	EMC3
Emc4	EMC4
Emc6	EMC6
Emc7	EMC7
Emc8	EMC8
Emc9	EMC9
Emcn	EMCN
Emd	EMD
Eme1	EME1
Eme2	EME2
Emg1	EMG1
Emid1	EMID1
Emilin1	EMILIN1
Emilin2	EMILIN2
Emilin3	EMILIN3
Eml1	EML1
Eml2	EML2
Eml3	EML3
Eml4	EML4
Eml5	EML5
Eml6	EML6
Emp1	EMP1
Emp2	EMP2
Emp3	EMP3
Emsy	EMSY
Emx1	EMX1
Emx2	EMX2
Emx2os	EMX2OS
En1	EN1
En2	EN2
Enah	ENAH
Enam	ENAM
Enc1	ENC1
Endod1	ENDOD1
Endog	ENDOG
Endou	ENDOU
Endov	ENDOV
Eng	ENG
Engase	ENGASE
Enho	ENHO
Enkd1	ENKD1
Enkur	ENKUR
Eno1	ENO1
Eno1b	ENO1
Eno2	ENO2
Eno3	ENO3
Eno4	ENO4
Enoph1	ENOPH1
Enox1	ENOX1
Enox2	ENOX2
Enpep	ENPEP
Enpp1	ENPP1
Enpp2	ENPP2
Enpp3	ENPP3
Enpp4	ENPP4
Enpp5	ENPP5
Enpp6	ENPP6
Enpp7	ENPP7
Ensa	ENSA
Enthd1	ENTHD1
Entpd1	ENTPD1
Entpd2	ENTPD2
Entpd3	ENTPD3
Entpd4	ENTPD4
Entpd4b	ENTPD4
Entpd5	ENTPD5
Entpd6	ENTPD6
Entpd7	ENTPD7
Entpd8	ENTPD8
Entr1	ENTR1
Entrep1	ENTREP1
Entrep2	ENTREP2
Entrep3	ENTREP3
Eny2	ENY2
Eogt	EOGT
Eola1	EOLA1
Eola1	EOLA2
Eomes	EOMES
Ep300	EP300
Ep400	EP400
Epas1	EPAS1
Epb41	EPB41
Epb41l1	EPB41L1
Epb41l2	EPB41L2
Epb41l3	EPB41L3
Epb41l4a	EPB41L4A
Epb41l4b	EPB41L4B
Epb41l5	EPB41L5
Epb42	EPB42
Epc1	EPC1
Epc2	EPC2
Epcam	EPCAM
Epcip	EPCIP
Epdr1	EPDR1
Epg5	EPG5
Epgn	EPGN
Epha1	EPHA1
Epha10	EPHA10
Epha2	EPHA2
Epha3	EPHA3
Epha4	EPHA4
Epha5	EPHA5
Epha6	EPHA6
Epha7	EPHA7
Epha8	EPHA8
Ephb1	EPHB1
Ephb2	EPHB2
Ephb3	EPHB3
Ephb4	EPHB4
Ephb6	EPHB6
Ephx1	EPHX1
Ephx2	EPHX2
Ephx3	EPHX3
Ephx4	EPHX4
Epm2a	EPM2A
Epm2aip1	EPM2AIP1
Epn1	EPN1
Epn2	EPN2
Epn3	EPN3
Epo	EPO
Epop	EPOP
Epor	EPOR
Epp13	EDDM13
Eppin	EPPIN-WFDC6
Eppin	EPPIN
